BTmag,e_Plx,e_DEdeg,e_RAdeg,pmDE,pmRA,Plx,Vmag,B-V,VTmag,V-I,Hpmag,e_B-V,e_V-I,r_Vmag,r_SpType,SpType
10.519,3.1,0.7,1.28,-0.93,181.21,21.9,9.27,0.999,9.378,1.04,9.4017,0.002,0.0,0,3,0
8.471,0.97,0.59,0.53,0.16,62.85,7.75,8.06,0.37,8.092,0.43,8.1498,0.009,0.01,1,1,0
9.693,1.11,0.61,0.64,9.07,2.53,2.87,8.55,0.902,8.656,0.9,8.7077,0.013,0.01,1,1,1
8.781756678668268,4.99,2.18,4.03,-12.84,226.29,18.8,12.31,1.336,7.975777382882781,1.55,12.4488,0.02,0.03,0,6,0
9.14,1.1,0.73,0.77,40.02,42.23,10.76,8.59,0.489,8.63,0.56,8.6994,0.011,0.01,1,1,0
10.369,1.16,0.58,0.81,-0.1,-5.99,4.06,8.43,1.484,8.588,1.5,8.5598,0.02,0.03,1,2,1
10.216,1.48,0.67,1.21,-10.07,8.45,3.49,8.8,1.128,8.887,1.09,8.9707,0.023,0.02,1,3,1
8.642,1.0,0.55,0.57,-26.37,-34.46,6.15,8.15,0.425,8.187,0.49,8.2405,0.007,0.01,1,1,0
8.044,0.95,0.52,0.9,9.65,54.15,12.21,7.57,0.456,7.606,0.53,7.6626,0.015,0.02,0,7,0
9.662,1.21,0.61,1.0,22.22,127.15,9.73,9.05,0.528,9.103,0.6,9.1657,0.015,0.02,1,3,0
7.238,0.98,0.81,0.88,-108.64,58.36,13.74,6.28,0.763,6.375,0.8,6.4211,0.003,0.0,0,7,1
9.747,1.34,0.83,1.0,-33.35,-103.33,9.19,9.13,0.535,9.179,0.61,9.2438,0.02,0.02,1,3,0
10.14,1.38,0.73,0.82,-113.67,135.96,9.66,9.32,0.671,9.389,0.73,9.4598,0.017,0.01,1,1,0
10.502,1.4,0.92,0.75,4.05,26.86,2.85,9.14,1.041,9.284,1.01,9.3109,0.02,0.02,1,1,1
7.04,0.74,0.43,0.61,-53.47,42.2,12.71,6.43,0.514,6.491,0.59,6.5466,0.005,0.01,1,6,1
10.857,2.72,2.5,3.67,7.03,-6.92,3.74,10.44,0.391,10.457,0.46,10.5345,0.045,0.05,1,1,0
9.614,0.78,0.68,0.64,-62.4,162.3,23.84,8.65,0.778,8.723,0.81,8.7855,0.015,0.01,1,0,0
7.986,1.18,0.61,0.95,-32.54,169.72,10.98,7.46,0.475,7.493,0.55,7.5669,0.009,0.01,0,3,0
7.497,0.6,0.45,0.42,-24.07,-80.6,7.63,6.18,1.032,6.29,1.0,6.3456,0.005,0.0,1,7,1
9.9,1.2,0.58,0.99,-13.39,15.17,1.19,8.57,1.035,8.69,1.01,8.735,0.016,0.01,1,2,1
12.125,1.97,1.35,1.29,-145.9,-44.21,24.45,10.78,1.15,10.909,1.25,10.8416,0.02,0.04,0,6,0
7.256,0.8,0.56,0.52,-20.52,52.98,16.89,6.49,0.616,6.579,0.68,6.6231,0.005,0.0,0,0,1
8.807,0.77,0.62,0.65,9.91,21.46,3.95,8.56,0.196,8.595,0.21,8.6228,0.023,0.03,1,0,0
9.353,0.79,0.64,0.63,-67.59,-40.97,33.89,8.27,0.863,8.353,0.88,8.4078,0.012,0.01,1,0,0
8.789,0.83,0.6,0.63,10.74,1.75,6.18,8.34,0.386,8.381,0.45,8.4337,0.014,0.01,1,0,1
9.545,1.15,0.87,0.89,-4.78,4.02,5.28,8.27,0.994,8.387,0.97,8.4354,0.012,0.01,1,1,1
9.567,0.94,0.48,0.88,-14.59,-5.93,3.45,8.08,1.156,8.202,1.12,8.2463,0.014,0.01,1,2,1
9.004,0.88,0.68,0.77,11.88,-15.61,8.18,8.55,0.401,8.587,0.47,8.6404,0.023,0.03,1,0,0
9.441,0.79,0.53,0.55,2.56,29.01,1.6,7.42,1.524,7.588,1.59,7.5402,0.02,0.02,1,1,1
8.44,1.12,0.49,0.9,2.83,18.83,3.53,8.41,0.022,8.411,0.04,8.4315,0.009,0.01,0,2,0
